Date,Calgary,Central,Edmonton,NorthEast,NorthWest,South,,,,,,
1/4/2019 9:00:00 PM,727,0,0,0,0,0,,,,,,
1/4/2019 10:00:00 PM,727,0,0,0,0,0,,,,,,
1/4/2019 11:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 12:00:00 AM,737,0,0,0,0,0,,,,,,
1/5/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/5/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/5/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/5/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/5/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/5/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/5/2019 7:00:00 AM,731,0,0,0,0,0,,,,,,
1/5/2019 8:00:00 AM,731,0,0,0,0,0,,,,,,
1/5/2019 9:00:00 AM,731,0,0,0,0,0,,,,,,
1/5/2019 10:00:00 AM,731,0,0,0,0,0,,,,,,
1/5/2019 11:00:00 AM,731,0,0,0,0,0,,,,,,
1/5/2019 12:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 1:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 2:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 3:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 4:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 8:00:00 PM,731,0,0,0,0,0,,,,,,
1/5/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/5/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/5/2019 11:00:00 PM,737,0,0,0,0,0,,,,,,
1/6/2019 12:00:00 AM,737,0,0,0,0,0,,,,,,
1/6/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/6/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/6/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/6/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/6/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/6/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/6/2019 7:00:00 AM,731,0,0,0,0,0,,,,,,
1/6/2019 8:00:00 AM,731,0,0,0,0,0,,,,,,
